data_dte,Year,Month,usg_apt_id,usg_apt,usg_wac,fg_apt_id,fg_apt,fg_wac,airlineid,carrier,carriergroup,type,Scheduled,Charter,Total
4/1/2009,2009,4,13682,NIP,33,13618,NBW,219,20344,RD,1,Departures,0,8,8
11/1/2004,2004,11,13303,MIA,33,13252,MEX,148,20232,A2,0,Departures,0,2,2
8/1/2009,2009,8,13204,MCO,33,15604,VKO,475,21131,VSA,0,Departures,0,1,1
10/1/2010,2010,10,12889,LAS,85,13252,MEX,148,21294,TRA,0,Departures,0,18,18
11/1/2010,2010,11,10732,BQN,3,11548,EMA,493,20007,5Y,1,Departures,0,1,1
3/1/2002,2002,3,13871,OMA,65,11032,CUN,148,20344,RYQ,1,Departures,0,1,1
8/1/2007,2007,8,12016,GUM,5,15306,TPE,781,20017,CS,1,Departures,0,7,7
7/1/2003,2003,7,13002,LKE,93,16233,YWH,906,20272,KAH,1,Departures,0,7,7
3/1/2005,2005,3,11433,DTW,43,10411,AUA,277,20120,DE,0,Departures,0,8,8
4/1/2001,2001,4,12016,GUM,5,11793,FUK,736,19548,JL,0,Departures,0,6,6
4/1/2001,2001,4,13061,LRD,74,15246,TLC,148,20447,U7,1,Departures,0,3,3
3/1/2008,2008,3,14492,RDU,36,11032,CUN,148,20402,GL,1,Departures,0,2,2
11/1/2006,2006,11,14730,SDF,52,16078,YHM,936,20166,GFQ,1,Departures,0,6,6
12/1/2009,2009,12,15043,SUS,64,16257,YYC,916,20402,GL,1,Departures,0,2,2
2/1/2001,2001,2,13303,MIA,33,11625,EZE,303,20312,TZ,1,Departures,0,4,4
8/1/2007,2007,8,10693,BNA,54,16166,YQG,936,20447,U7,1,Departures,0,1,1
6/1/2004,2004,6,12478,JFK,22,13366,MLH,427,20100,PO,1,Departures,0,1,1
10/1/2007,2007,10,13303,MIA,33,15567,VCP,316,20308,WE,1,Departures,0,1,1
8/1/2004,2004,8,13061,LRD,74,10638,BJX,148,20447,U7,1,Departures,0,3,3
6/1/2010,2010,6,13303,MIA,33,10209,AGT,365,20149,PRQ,1,Departures,0,1,1
6/1/2004,2004,6,15295,TOL,44,13514,MTY,148,20201,AMQ,1,Departures,0,1,1
5/1/2007,2007,5,10693,BNA,54,11024,CJS,148,20201,AMQ,1,Departures,0,1,1
4/1/2004,2004,4,14100,PHL,23,11032,CUN,148,20312,TZ,1,Departures,0,8,8
10/1/2007,2007,10,13303,MIA,33,15455,UIO,337,20007,5Y,1,Departures,0,4,4
2/1/2002,2002,2,13303,MIA,33,14012,PAP,238,20357,ER,1,Departures,0,10,10
1/1/2008,2008,1,13061,LRD,74,15192,TGU,131,20402,GL,1,Departures,0,1,1
